章,機能,機能説明,場面説明,対象人物,本文要約
3,2.禁止（社会秩序の前提）,物語世界における法・秩序・禁止事項（盗み・殺しなど）が前提として示される機能。,多襄丸が「名高い盗人」であり、過去にも追われる存在だったと語られる場面。,捕吏／多襄丸,捕吏は、多襄丸が洛中に名の知れた盗人であり、以前から追われていた人物であると証言する。
3,8.加害（犯罪行為の提示）,物語の中心となる不幸・犯罪が、特定の人物に結びつけられる機能。,死骸の男の持ち物と、多襄丸の所持品が一致することから、犯人視する場面。,多襄丸（加害者として）,捕吏は、弓・箙・征矢・馬が死骸の男のものと一致するため、殺人は多襄丸の仕業だと断定する。
3,7.共謀（犯行関与の推測）,明確な証拠ではなく、性格・過去の噂などから犯行への関与が語られる機能。,多襄丸が女好きで、過去にも女を巻き込んだ殺しの噂があると述べる場面。,多襄丸,捕吏は、多襄丸の女好きな性分や過去の噂話を挙げ、今回も同様の犯行だと印象づける。
3,4.偵察（状況把握）,事件後の状況・証拠・周辺情報が整理され、物語の事実関係が補強される機能。,多襄丸を捕縛した時刻・場所・状態、馬の所在を具体的に説明する場面。,捕吏,捕吏は、昨夜初更ごろ石橋で多襄丸を捕え、近くに死骸の男の馬がいたことを語る。
3,5.仲介（公式報告）,事件の解釈や結論が、権力機関に正式に伝えられる機能。,「御詮議下さい」と述べ、女の行方も含めて判断を委ねる場面。,捕吏→検非違使,捕吏は、多襄丸が犯人である可能性を強く示しつつ、女の行方についても捜査を求める。
4,1.欠如（欠乏・不幸の発生）,物語の中心となる欠落・不幸が、家族や社会に明確な形で提示される機能。,息子（武弘）が殺され、娘（真砂）が行方不明になっていることを語る場面。,武弘／真砂／姥,若狭の侍・金沢武弘が殺され、同行していた娘・真砂が行方不明となり、母は二重の喪失に直面している。
4,2.禁止（道徳的前提の提示）,被害者が「恨みを買う理由のない人物」であることを示し、不当な暴力であると強調する機能。,武弘の性格や素性を丁寧に説明する部分。,武弘,武弘は気立ての優しい若狭の侍で、誰かに遺恨を持たれるような人物ではなかったと語られる。
4,3.違反（秩序の破壊）,本来守られるべき秩序（婚姻・家族・旅立ち）が破壊されたことを示す機能。,若狭へ向かう途中で悲劇が起きたことが語られる場面。,武弘／真砂,婚約関係にあった男女が共に旅立ったにもかかわらず、男は殺され、女は消えた。
4,7.共謀（加害者への感情的帰属）,確証ではなく、感情・立場から特定人物を強く憎悪し、犯人とみなす機能。,多襄丸への激しい憎しみを表明する場面。,多襄丸,姥は、息子だけでなく娘まで奪った存在として、多襄丸を強く憎み、断罪する。
4,5.仲介（嘆願・訴え）,権力者・裁きの場に対して、願いや訴えを直接差し出す機能。,「草木を分けても娘を探してほしい」と懇願する場面。,姥→検非違使,姥は一生の願いとして、行方不明の娘・真砂の捜索を切実に訴える。
5,8.加害（害悪・犯罪）,物語の中心的な害悪が、加害者自身の口によって明確に語られる機能。,「男を殺したのはわたしです」と、殺害をはっきり認める場面。,多襄丸→武弘,多襄丸は、武弘を殺したのは自分であると断言し、殺人を否定しない。
5,6.欺き（加害者による計略）,加害者が被害者を罠にかけるため、偽の情報や誘いを用いる機能。,古塚に宝が埋まっているという作り話を語る部分。,多襄丸→武弘・真砂,多襄丸は、古塚に鏡や太刀が埋まっているという嘘で夫婦の欲心を刺激し、山中へ誘い込む。
5,7.共謀（被害者の同意的関与）,被害者が結果的に加害者の計画に加担してしまう状態を示す機能。,男が話に興味を示し、自ら山路へ向かう場面。,武弘,武弘は欲に心を動かされ、自発的に山道へ馬を向ける。
5,9.仲介（動機の明示）,物語の行動原理・動機が語られ、出来事の意味が整理される機能。,女の顔を見て「奪おうと決心した」と語る場面。,多襄丸,多襄丸は、真砂を一目見た瞬間に、男を殺してでも女を奪おうと決意したと語る。
5,3.違反（倫理・秩序の破壊）,社会的・道徳的禁忌が破られることを明示する機能。,「男を殺すのは大したことではない」と語る場面。,多襄丸,多襄丸は殺人を当然視し、倫理的秩序を根本から否定する価値観を示す。
5,12.試練（価値観の挑発）,主人公（語り手）が、権力者や聞き手に価値判断を迫る機能。,「あなた方の方が罪深いのではないか」と皮肉を述べる部分。,多襄丸→検非違使,多襄丸は、自分よりも権力による殺しの方が残酷だと主張し、裁く側の倫理を挑発する。
5,11.出立（犯罪行為への移行）,事件が決定的段階へ進むため、登場人物が行動を開始する機能。,夫婦が山路へ馬を向ける場面。,多襄丸／武弘／真砂,欲に駆られた武弘と共に、三人は人目のない山中へと進んでいく。
5,6.欺き（再）,加害者が偽情報を用いて、被害者を決定的な場所へ誘導する機能。,「宝はこの中に埋めてある」「杉の下にある」と嘘を重ねる場面。,多襄丸→武弘,欲に駆られた武弘は疑いもなく、藪の奥へ進んでいく。
5,7.共犯的同意（自発的接近）,被害者が自らの判断で危険な状況に踏み込んでしまう機能。,「異存ある筈はありません」と述べ、女を残して藪へ入る場面。,武弘,武弘は財宝への欲望から、多襄丸の話を疑わず、進んで藪の奥へ入っていく。
5,11.分離（隔離）,被害者同士が引き離され、相互に助け合えなくなる機能。,女を馬に残し、男だけを藪の中へ連れて行く場面。,多襄丸→真砂・武弘,多襄丸は夫婦を分断し、男のみを事件の現場へ導く。
5,4.偵察・準備（犯行環境の選定）,害悪を実行するために、最適な場所・条件が整えられる機能。,「これほど都合の好い場所はありません」と語る場面。,多襄丸,多襄丸は杉むらという人目のない場所を、犯行に最適な環境として選び取る。
5,10.被害（拘束）,被害者が暴力によって自由を奪われ、無力化される機能。,不意打ちによって男を組み伏せ、杉の根に縄で縛りつける場面。,多襄丸→武弘,多襄丸は武弘を奇襲し、縄で縛って完全に身動きを取れなくする。
5,9.沈黙の強制,被害者が助けを呼べないようにされ、声を奪われる機能。,竹の落葉を口に押し込む場面。,多襄丸→武弘,多襄丸は武弘の口を塞ぎ、外部との接触や抵抗の可能性を断つ。
5,6.欺き（第二段階）,最初の欺きに続いて、新たな虚偽で別の被害者を誘導する機能。,「男が急病を起した」と女を呼びに行く場面。,多襄丸→真砂,多襄丸は嘘の口実で、女を藪の奥へ連れ込もうとする。
5,12.抵抗,被害者が暴力に対して能動的に反抗する機能。,真砂が小刀を抜き、多襄丸に斬りかかる場面。,真砂→多襄丸,真砂は夫の拘束を見て即座に武器を抜き、激しく抵抗する。
5,13.闘争（直接対決）,害悪と被害者が直接的な身体的対立に入る機能。,無二無三に斬り立てられ、多襄丸が身を躱し続ける場面。,多襄丸↔真砂,真砂と多襄丸は、藪の中で激しい肉体的対決を繰り広げる。
5,15.武装解除（無力化）,抵抗者が武器を失い、力関係が決定的になる機能。,小刀を打ち落とし、真砂が得物を失う場面。,多襄丸→真砂,多襄丸は真砂の小刀を奪い、抵抗の手段を完全に断つ。
5,8.加害（目的達成）,加害者の目的が達成され、害悪が完遂される機能。,犯行が成功したと自己評価する場面。,多襄丸→真砂,多襄丸は、自身の語りの中で犯行が成功したと結論づける。
5,12.強制的選択（倫理的圧迫）,被害者や第三者が、極端な選択を迫ることで事態を不可逆に進める機能。,「どちらか一人死んでくれ」と叫ぶ場面。,真砂→多襄丸,真砂は二人の男のどちらかが死ぬべきだと訴え、状況を決定的な対立へ追い込む。
5,5.誘因の転化（動機の変質）,加害者の動機が当初の目的から別の衝動へと変質する機能。,「猛然と、男を殺したい気になりました」と語る場面。,多襄丸,多襄丸の動機は、略奪から殺害へと決定的に転化する。
5,16.魅惑（致命的吸引）,他者の存在が、倫理を超えて加害を正当化するほどの吸引力を持つ機能。,「この女を妻にしたい」と決意する場面。,真砂→多襄丸,真砂の眼差しは、多襄丸にとって倫理を超える決定的な誘惑となる。
5,17.自己正当化（動機の美化）,加害者が欲望を高次の価値として語り直す機能。,「卑しい色欲ではありません」と強調する場面。,多襄丸（自己）,多襄丸は自身の衝動を愛や覚悟として語り、犯罪性を相対化する。
5,18.決意（不可逆点）,行為者が引き返せない覚悟を固める機能。,「男を殺さない限り去るまい」と述べる場面。,多襄丸,多襄丸は殺害を前提とした行動を取ることを明確に決意する。
5,19.名誉ある加害（形式的公平）,加害者が暴力に形式上の正当性を与えようとする機能。,縄を解き、正面対決を申し出る場面。,多襄丸→武弘,多襄丸は卑怯な殺しを避けるため、形式上の公平な決闘を選ぶ。
5,13.闘争（決闘）,双方が武器を持ち殺意を向け合う直接対決の機能。,武弘が太刀を抜き、飛びかかる場面。,多襄丸↔武弘,二人は逃げ場のない藪の中で、真剣勝負の太刀打ちに入る。
5,8.加害（殺害）,物語上の中心的害悪が決定的行為として実行される機能.,「二十三合目に胸を貫いた」と語る場面。,多襄丸→武弘,多襄丸は長い斬り合いの末、武弘を刺殺する。
5,20.誇示（武勇の誇り）,加害者が犯罪行為を能力や栄誉として語る機能。,殺害を誇らしく回想する場面。,多襄丸（自己）,多襄丸は殺害を武人としての誇りある功績として回想する。
5,21.消失（不可解な離脱）,重要人物が説明不能な形で物語空間から姿を消す機能。,振り返ると真砂がいない場面。,真砂,真砂は決闘と殺害の最中に姿を消し、以後の行方が不明となる。
5,22.痕跡の欠如（謎の固定）,真相解明を妨げる証拠欠如を示す機能。,足跡も物音も残っていないと語る場面。,真砂（間接）,真砂の行動は痕跡を残さず、物語の謎を決定的に深める。
5,23.逃走（自己保存）,加害者が自己の安全を最優先する機能。,武器を奪い山路へ逃げ戻る場面。,多襄丸,多襄丸は女の不在を悟り、即座に生存のための逃走を選ぶ。
5,24.自白（物語の閉鎖）,語り手が罪を語り切り証言を完結させる機能。,「わたしの白状はこれだけです」と語る結び。,多襄丸,多襄丸は全責任を引き受ける姿勢を示し、証言を終える。
6,7.被害（性的暴力）,物語の重大な害悪が被害者自身の視点から直接語られる機能。,「その紺の水干を着た男は、わたしを手ごめにしてしまうと」と述べる冒頭。,多襄丸→真砂,真砂は多襄丸によって凌辱された事実を簡潔かつ断定的に語る。
6,25.強制的無力化（拘束）,第三者が物理的に行動不能にされ事態を見せつけられる機能。,縄で縛られた武弘が身悶えしながら見せ物のように扱われる場面。,多襄丸→武弘,武弘は縛られたまま妻が辱めを受ける光景を強制的に見せられる。
6,26.視線による断罪（非言語的裁き）,言葉を用いず視線のみで相手を裁き心理的傷を与える機能。,夫が何も言わず蔑むような冷たい眼を向ける場面。,武弘→真砂,武弘の沈黙と視線は真砂を深く打ちのめす。
6,27.自己崩壊（羞恥の内面化）,被害者が害を自責や恥として内面化する機能。,「男に蹴られたよりもその眼の色に打たれた」と語る場面。,真砂（自己）,真砂は暴力以上に夫の蔑視によって精神的に崩れていく。
6,28.加害者の不在（空白）,決定的事件の後に加害者が場から消える機能。,気がつくと多襄丸が姿を消している場面。,多襄丸（不在）／真砂・武弘,多襄丸の退場により夫婦だけの閉ざされた状況が生まれる。
6,12.強制的選択（名誉と死）,生と死の極端な選択を他者に迫る機能。,「あなたもお死になすって下さい」と懇願する場面。,真砂→武弘,真砂は恥を見た以上夫にも死を選ぶよう迫る。
6,29.沈黙の拒絶,言葉を与えず態度のみで訴えを拒絶する機能。,武弘が忌まわしそうに見つめ続ける場面。,武弘→真砂,武弘は沈黙によって真砂の懇願を拒否する。
6,30.手段の欠如（選択肢の収束）,状況が追い詰められ手段が一つに収束する機能。,太刀も弓矢もなく小刀だけが残っている場面。,真砂,真砂の前には小刀による殺害という選択肢だけが残される。
6,31.命乞いの反転（殺害要請）,本来拒否される行為が被害者自身により要請される機能。,武弘が唇を動かし「殺せ」と伝える場面。,武弘→真砂,武弘は自ら死を選び真砂に殺害を委ねる。
6,8.加害（殺害）,物語上の決定的な害悪が行為として実行される機能。,「夫の縹の水干の胸へずぶりと小刀を刺し通しました」の場面。,真砂→武弘,真砂は夫の要請に応じ小刀で胸を刺し殺害に至る。
6,32.責任の転移（語りの構造）,殺害の主体が意志と状況の連鎖で曖昧化される機能。,「ほとんど夢うつつの内に」と語る結び。,真砂（自己）,真砂は行為を半ば無意識の結果として語り責任を分散させる。
6,9.仲介（出来事の認知）,起きてしまった事実を改めて認識する機能。,気を失った後周囲を見回し夫の死を悟る場面。,真砂→武弘（死）,真砂は縛られたまま絶命している夫の現実を受け入れる。
6,19.欠如の確定（不可逆性）,失われたものが取り戻せないと確定する機能。,「とうに息が絶えていました」と語る場面。,武弘（不在）／真砂,武弘の死は完全に確定し時間は後戻りできない。
6,20.悔恨（死後の行為）,手遅れとなった後の象徴的行為による悔恨表現。,死骸の縄を解き捨てる場面。,真砂→武弘,真砂は意味をなさない行為で罪と悔いを示す。
6,27.自己断罪（内面化された罪）,主人公が自らを罪人として裁く機能。,泣き声を呑み沈黙の中で行動する場面。,真砂（自己）,真砂は声を上げられず罪を内面に抱え込む。
6,15.虚偽の解決（自殺未遂）,問題を終わらせようとするが解決に至らない行為。,小刀を喉に突き立て池に身を投げようとする回想。,真砂,真砂は自殺を試みるが死ねず問題は解決されない。
6,21.失敗（救済不能）,望んだ結果に到達できない機能。,「どうしても死に切る力がなかった」と述べる場面。,真砂,真砂は生き残り罪と向き合う運命から逃れられない。
6,18.神的裁きの欠如,宗教的・超越的救済が与えられない機能。,観世音菩薩に見放されたかもしれないと語る場面。,真砂→観世音菩薩（不在）,真砂は信仰による救済すら得られないと感じる。
6,24.問いの提示（道徳的未解決）,結論を出さず倫理的問いを読者に委ねる機能。,「一体どうすれば好よいのでしょう？」と問いかける場面。,真砂→検非違使／読者,真砂は答えを出せず問いを外部へ投げる。
6,33.結末の拒否（物語の未閉鎖）,物語が解決や教訓に至らず終わる機能。,言葉を失い激しくすすり泣く結び。,真砂,真砂の語りは混乱と悲嘆のまま途切れる。
7,6.欺き,加害者が言葉巧みに被害者を惑わし有利に導く機能。,盗人が夫とはやり直せないと語り妻になるよう誘う場面,多襄丸→真砂,盗人は愛ゆえの行為だと主張し真砂を心理的に揺さぶる。
7,7.共犯,被害者が欺きを受け入れ結果的に加害者の意図に沿う機能。,妻が盗人の言葉に心を動かされ同行を承諾する場面,真砂→多襄丸,真砂は盗人の誘いを受け入れ精神的に従属する。
7,8.加害,害悪が拡大し破壊的要求が現れる機能。,妻が夫の殺害を求める場面,真砂→武弘（媒介：多襄丸）,真砂は武弘が生きていては共にいられないと殺害を要求する。
7,16.闘争,当事者同士が直接対峙し決定的選択を迫られる機能。,盗人が夫に女を殺すか助けるか問う場面,多襄丸↔武弘,多襄丸は武弘に残酷な選択を突きつけ精神的苦痛を与える。
7,9.仲介,葛藤が決定的に意識され破滅へ動き出す機能。,妻が叫び声をあげ藪へ逃げる場面,真砂,真砂は恐慌状態で藪の奥へ姿を消す。
7,18.被害の解消,欠如や葛藤が破滅的な形で解消される機能。,盗人が去った後に自害する場面,武弘,武弘は小刀で自ら胸を刺し死を選ぶ。
7,29.罰,行為の帰結として破滅が確定する機能。,誰かが小刀を引き抜く場面,武弘,武弘の死は完全なものとなり救済なき結末が示される。
